date,time_30min,segment_rows,unique_segments,mean_speed_kmh,mean_jam_factor
2025-12-21,00:30,341,341,14.672785923753667,0.11906158357771261
2025-12-21,01:00,341,341,14.484633431085044,0.19237536656891494
2025-12-21,01:30,341,341,14.579237536656892,0.16744868035190616
2025-12-21,02:00,341,341,14.807184750733137,0.09882697947214077
2025-12-21,02:30,341,341,14.73407624633431,0.12521994134897363
2025-12-21,03:00,341,341,14.694046920821114,0.13665689149560117
2025-12-21,03:30,341,341,14.554516129032258,0.16862170087976538
2025-12-21,04:00,341,341,14.70434017595308,0.1598240469208211
2025-12-21,04:30,341,341,14.551202346041055,0.18944281524926684
2025-12-21,05:00,341,341,14.576392961876833,0.1744868035190616
2025-12-21,05:30,341,341,14.546070381231672,0.19882697947214076
2025-12-21,06:00,341,341,14.396363636363636,0.2439882697947214
2025-12-21,06:30,341,341,14.287272727272727,0.2621700879765396
2025-12-21,07:00,341,341,14.15941348973607,0.33724340175953077
2025-12-21,07:30,341,341,13.79008797653959,0.4689149560117302
2025-12-21,08:00,341,341,13.316920821114369,0.6052785923753666
2025-12-21,08:30,341,341,12.953870967741937,0.7498533724340176
2025-12-21,09:00,341,341,12.852844574780057,0.8360703812316717
2025-12-21,09:30,341,341,12.471906158357772,1.0079178885630498
2025-12-21,10:00,341,341,12.40891495601173,1.0607038123167154
2025-12-21,10:30,341,341,12.284985337243402,1.0222873900293257
2025-12-21,11:00,341,341,12.203607038123168,1.1143695014662756
2025-12-21,11:30,341,341,12.171055718475072,1.1231671554252198
2025-12-21,12:00,341,341,11.846539589442816,1.3826979472140764
2025-12-21,12:30,341,341,11.679032258064517,1.5164222873900295
2025-12-21,13:00,341,341,11.572932551319647,1.532551319648094
2025-12-21,13:30,341,341,11.783841642228738,1.3480938416422288
2025-12-21,14:00,341,341,11.654545454545454,1.4287390029325513
2025-12-21,14:30,341,341,11.653695014662755,1.5196480938416423
2025-12-21,15:00,341,341,11.742375366568915,1.3653958944281526
2025-12-21,15:30,341,341,11.777947214076248,1.298240469208211
2025-12-21,16:00,341,341,11.986862170087976,1.2102639296187683
2025-12-21,16:30,341,341,12.16709677419355,1.046041055718475
2025-12-21,17:00,341,341,12.119032258064516,1.122873900293255
2025-12-21,17:30,341,341,12.172580645161291,1.110850439882698
2025-12-21,18:00,341,341,12.174398826979473,1.1498533724340176
2025-12-21,18:30,341,341,12.060351906158358,1.1956011730205278
2025-12-21,19:00,341,341,12.126099706744869,1.2076246334310852
2025-12-21,19:30,341,341,12.212463343108503,1.1856304985337243
2025-12-21,20:00,341,341,12.539178885630498,1.050439882697947
2025-12-21,20:30,341,341,12.665513196480937,1.0762463343108504
